id,company_name,industry,location,website,email,phone,decision_maker,decision_maker_title,linkedin_url,employees_estimate,revenue_estimate,lead_score,status,source,scraped_at,contacted_at,notes
24,Lagos Estate Developers,Real Estate,Lagos,www.estatedeveloperslagos.com.ng,info@estatedeveloperslagos.com.ng,+234 750 286 9127,To Be Found,CEO,linkedin.com/company/estate-developers-lagos,200,100000000,95,new,linkedin,2025-12-28 17:54:03,,
25,Lagos Urban Properties,Real Estate,Lagos,www.urbanpropertieslagos.com.ng,info@urbanpropertieslagos.com.ng,+234 791 708 2893,To Be Found,CEO,linkedin.com/company/urban-properties-lagos,50,500000000,95,new,linkedin,2025-12-28 17:54:03,,
1,Lagos TechCorp,Technology,Lagos,www.techcorplagos.com.ng,info@techcorplagos.com.ng,+234 871 443 3072,To Be Found,CEO,,150,200000000,90,new,google_maps,2025-12-28 17:53:53,,
4,Lagos Cloud Systems,Technology,Lagos,www.cloudsystemslagos.com.ng,info@cloudsystemslagos.com.ng,+234 897 388 6006,To Be Found,CEO,,150,100000000,90,new,google_maps,2025-12-28 17:53:53,,
11,Lagos Capital Partners,Financial Services,Lagos,www.capitalpartnerslagos.com.ng,info@capitalpartnerslagos.com.ng,+234 831 548 2191,To Be Found,CEO,,150,200000000,90,new,google_maps,2025-12-28 17:53:58,,
12,Lagos Fintech Hub,Financial Services,Lagos,www.fintechhublagos.com.ng,info@fintechhublagos.com.ng,+234 742 669 8306,To Be Found,CEO,,50,200000000,90,new,google_maps,2025-12-28 17:53:58,,
13,Lagos Investment Group,Financial Services,Lagos,www.investmentgrouplagos.com.ng,info@investmentgrouplagos.com.ng,+234 825 622 8869,To Be Found,CEO,,100,100000000,90,new,google_maps,2025-12-28 17:53:58,,
14,Lagos Microfinance,Financial Services,Lagos,www.microfinancelagos.com.ng,info@microfinancelagos.com.ng,+234 899 552 6956,To Be Found,CEO,,200,100000000,90,new,google_maps,2025-12-28 17:53:58,,
15,Lagos Banking Solutions,Financial Services,Lagos,www.bankingsolutionslagos.com.ng,info@bankingsolutionslagos.com.ng,+234 907 974 4556,To Be Found,CEO,,25,100000000,90,new,google_maps,2025-12-28 17:53:58,,
29,Abuja Estate Developers,Real Estate,Abuja,www.estatedevelopersabuja.com.ng,info@estatedevelopersabuja.com.ng,+234 756 831 8131,To Be Found,CEO,linkedin.com/company/estate-developers-abuja,200,100000000,80,new,linkedin,2025-12-28 17:54:05,,
30,Abuja Land & Homes,Real Estate,Abuja,www.land&homesabuja.com.ng,info@land&homesabuja.com.ng,+234 825 405 1025,To Be Found,CEO,linkedin.com/company/land-&-homes-abuja,150,100000000,80,new,linkedin,2025-12-28 17:54:05,,
6,Abuja TechCorp,Technology,Abuja,www.techcorpabuja.com.ng,info@techcorpabuja.com.ng,+234 826 105 2318,To Be Found,CEO,,25,200000000,75,new,google_maps,2025-12-28 17:53:55,,
7,Abuja Digital Solutions,Technology,Abuja,www.digitalsolutionsabuja.com.ng,info@digitalsolutionsabuja.com.ng,+234 902 376 9194,To Be Found,CEO,,200,100000000,75,new,google_maps,2025-12-28 17:53:55,,
